index,ax_g,ax_g_lowpass,ax_g_ai,ax_g_ai_kalman,ay_g,ay_g_lowpass,ay_g_ai,ay_g_ai_kalman,az_g,az_g_lowpass,az_g_ai,az_g_ai_kalman,gx_dps,gx_dps_lowpass,gx_dps_ai,gx_dps_ai_kalman,gy_dps,gy_dps_lowpass,gy_dps_ai,gy_dps_ai_kalman,gz_dps,gz_dps_lowpass,gz_dps_ai,gz_dps_ai_kalman
403,0.039489,0.03782223809523809,0.036974804399767025,0.03686839367301326,-0.01078,-0.013291142857142859,-0.012708689761446146,-0.01270901555165639,1.002209,1.0063685714285713,1.0060274318608868,1.006073551100269,0.627347,0.6051614285714284,0.6165282297898131,0.6159707017507012,0.749597,0.7539947619047619,0.7400744245254698,0.7383888762034189,-0.288757,-0.25831766666666667,-0.26106057230624646,-0.26260339769306645
404,0.040341,0.037072238095238096,0.03673079070489778,0.03685026111498625,-0.016179,-0.013464000000000002,-0.012753645153575187,-0.01271489659374144,1.013269,1.0061975714285714,1.0060163623592264,1.0060660150842975,0.656509,0.602874238095238,0.6159529490449819,0.6159683623973355,0.747832,0.7553122857142857,0.7399654746151869,0.7385966316216209,-0.349039,-0.2589838095238095,-0.26106347473896074,-0.26240047516381537
405,0.034063,0.0364687619047619,0.0366672910573655,0.036826150332839244,-0.013249,-0.013429095238095237,-0.012779661893415065,-0.0127234310067018,1.010425,1.0064537619047618,1.0060671278375435,1.0060661617167654,0.656681,0.6056597619047619,0.6175661207461757,0.6161789061550049,0.748052,0.7624248571428571,0.7407783139380137,0.7388841216499269,-0.196466,-0.2618216666666666,-0.2626074139201565,-0.2624277444085038
406,0.035217,0.036280857142857136,0.03674768400841265,0.036815810474620216,-0.015424,-0.01310438095238095,-0.012665535685700353,-0.012715801881531548,1.00774,1.0067569523809523,1.0060846881637922,1.006068603029481,0.596127,0.6070320952380952,0.6179296109381633,0.6164096043478094,0.82505,0.7674089047619047,0.7433836708600923,0.73947704735688,-0.318898,-0.25959385714285715,-0.2613815447003275,-0.26228988199771314
407,0.038925,0.036154380952380945,0.03663943148648251,0.03679256822715308,-0.014115,-0.013086523809523808,-0.012646099511364086,-0.012706616888729495,1.010153,1.007172,1.0061922658608964,1.0060848986333994,0.489428,0.6033399047619047,0.6179854415469926,0.6166172594576275,0.642064,0.7644274761904762,0.7435534043800077,0.7400142071381912,-0.257928,-0.2581071428571428,-0.26060911090574695,-0.26206839927991576
408,0.043595,0.03612595238095238,0.036753063315965624,0.036787362488466854,-0.012331,-0.013272714285714285,-0.01268950364737029,-0.012704361800440152,1.000725,1.0072048571428571,1.0061962634999004,1.0060995736795242,0.58086,0.6047530952380953,0.6193287559053888,0.6169745654616506,0.71818,0.7607400000000001,0.7424036895047973,0.740329079907728,-0.288364,-0.2617188095238095,-0.2622773512611438,-0.2620959338162442
409,0.028987,0.0361037619047619,0.036884509470472504,0.03680016398041497,-0.011108,-0.013238428571428571,-0.012662087676725324,-0.01269879115024417,1.008535,1.0072628095238094,1.006239283993306,1.006117983931907,0.656681,0.6032990476190475,0.6188360187746382,0.6172198574831425,0.87019,0.76074,0.741109677735099,0.7404319427717665,-0.196466,-0.2580837619047619,-0.26066965513379436,-0.2619079867005213
410,0.029451,0.03588223809523809,0.036809489731207366,0.03680139287627168,-0.012136,-0.01322490476190476,-0.012685220834454985,-0.012697002929089771,1.010214,1.0069301904761905,1.0062009718257099,1.0061289196175287,0.548953,0.6068524761904761,0.6196194757970793,0.6175360659117545,0.808019,0.7671780952380952,0.7427085861922316,0.740731946249117,-0.257043,-0.2631260476190476,-0.2629769616104021,-0.2620488503014181
411,0.028712,0.03570223809523809,0.03673402926118356,0.036792516071677835,-0.012682,-0.01298052380952381,-0.012590550968884943,-0.012682975278582384,1.013837,1.0066341904761904,1.006120935759528,1.0061278675488818,0.504009,0.6060846666666665,0.6179143484693893,0.6175859138948384,0.717518,0.7634905714285715,0.7418944556170232,0.7408851353035334,-0.242267,-0.2623756666666667,-0.26306201636750487,-0.2621823597215703
412,0.038668,0.03599538095238095,0.03679784157910983,0.03679321783759071,-0.01395,-0.012893952380952381,-0.012561567459561943,-0.012666976827724307,1.002906,1.0065531904761904,1.0061311979590741,1.0061283064119158,0.534029,0.6001461428571427,0.6168448359879302,0.6174882587473254,0.701589,0.7618790476190477,0.7418599569845629,0.7410135919127137,-0.303041,-0.26157842857142855,-0.2627391161228715,-0.2622557260005958
